#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Myosin_tail_1        PF01576.17  1081 sp_P35579_MYH9_HUMAN -           1960         0 1675.3 313.4   1   1         0         0 1675.1 313.4     1  1081   841  1921   841  1921 1.00 Myosin tail
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   1   5         0         0 1024.3   0.9     1   677    83   764    83   764 0.98 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   2   5         8   1.6e+04  -14.5  13.9   393   518   940  1063   936  1154 0.56 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   3   5      0.75   1.5e+03   -3.1   1.6   534   597  1166  1224  1126  1234 0.53 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   4   5         4   8.1e+03   -5.5   4.1   480   578  1451  1553  1412  1573 0.59 Myosin head (motor domain)
Myosin_head          PF00063.19   677 sp_P35579_MYH9_HUMAN -           1960         0 1024.3   0.9   5   5      0.47   9.5e+02   -2.5   2.8   517   575  1761  1818  1742  1823 0.60 Myosin head (motor domain)
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  10  15   8.8e-07    0.0018   18.2  20.3    43   150  1480  1587  1477  1589 0.96 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  11  15       1.7   3.5e+03   -2.2  13.2    64   135  1579  1653  1574  1657 0.64 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  12  15       0.3   6.1e+02    0.3  14.0    46   127  1652  1733  1647  1733 0.91 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  13  15     0.024        50    3.8  17.5    68   144  1723  1798  1720  1807 0.90 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  14  15       2.2   4.4e+03   -2.5  15.2    56   131  1788  1864  1784  1870 0.55 Afadin- and alpha -actinin-Binding
ADIP                 PF11559.6    152 sp_P35579_MYH9_HUMAN -           1960    0.0018   18.2  20.3  15  15     0.032        65    3.4  14.8    59   125  1857  1921  1850  1924 0.85 Afadin- and alpha -actinin-Binding
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   1   9     0.063   1.3e+02    1.7   1.3    53   135   873   952   847   983 0.53 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   2   9    0.0076        15    4.7   1.4    40   114  1011  1085   998  1098 0.57 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   3   9    0.0087        18    4.5   4.3    41   125  1095  1180  1087  1213 0.78 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   4   9     0.023        47    3.1   5.0    40   135  1222  1317  1204  1341 0.60 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   5   9   3.4e-05     0.068   12.4   2.3    17   132  1325  1440  1314  1446 0.90 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   6   9    0.0013       2.6    7.2   1.6    63   123  1504  1564  1471  1610 0.61 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   7   9   6.4e-05      0.13   11.5   3.0    36   154  1618  1736  1606  1742 0.90 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   8   9    0.0045       9.1    5.4   3.4    39   155  1767  1885  1753  1890 0.83 Reovirus sigma C capsid protein
Reo_sigmaC           PF04582.10   326 sp_P35579_MYH9_HUMAN -           1960     0.074   12.3  73.6   9   9     0.077   1.6e+02    1.4   0.4    68   119  1868  1919  1840  1924 0.58 Reovirus sigma C capsid protein
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   1   8   7.2e-05      0.15   12.2   0.0     4    29   166   191   162   222 0.85 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   2   8       1.1   2.2e+03   -1.3   4.1    23    78   881   948   874   982 0.71 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   3   8       2.4   4.9e+03   -2.4   0.2    91    91  1101  1101  1014  1178 0.59 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   4   8       1.1   2.2e+03   -1.3   1.0    23    91  1199  1259  1172  1301 0.67 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   5   8       3.9   7.9e+03   -3.1   0.4    25    70  1341  1396  1339  1429 0.45 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   6   8       1.2   2.4e+03   -1.4   2.8    37    86  1477  1545  1453  1558 0.67 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   7   8       5.9   1.2e+04   -3.7   0.4    51    86  1701  1738  1661  1750 0.54 AAA domain
AAA_22               PF13401.4    137 sp_P35579_MYH9_HUMAN -           1960      0.15   12.2   0.0   8   8         8   1.6e+04   -4.2   3.5    80    99  1835  1853  1766  1914 0.57 AAA domain
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /tmp/seq
# Target file:     /home/cloudera/cantaloupe/database/pfam/Pfam-A.hmm
# Option settings: ./hmmscan -o /tmp/hmmscan-stdout --domtblout ../output/summary-sp_Q9Y250_LZTS1_HUMAN.txt /home/cloudera/cantaloupe/database/pfam/Pfam-A.hmm /tmp/seq 
# Current dir:     /home/cloudera/cantaloupe/tests
# Date:            Sat Sep 10 08:20:30 2016
# [ok]
